#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG14747	5	5	Xu	REFSEQ hypothetical protein
VOG14748	5	5	Xu	REFSEQ hypothetical protein
VOG14749	4	4	Xu	REFSEQ hypothetical protein
VOG14750	5	5	Xu	REFSEQ hypothetical protein
VOG14751	5	5	Xu	REFSEQ hypothetical protein
VOG14752	5	5	Xu	REFSEQ hypothetical protein
VOG14753	7	7	Xu	REFSEQ hypothetical protein
VOG14754	10	10	Xu	REFSEQ hypothetical protein
VOG14755	5	5	Xu	REFSEQ hypothetical protein
VOG14756	5	5	Xu	REFSEQ hypothetical protein
VOG14757	5	5	Xu	REFSEQ hypothetical protein
VOG14758	7	7	Xu	REFSEQ hypothetical protein
VOG14759	4	4	Xu	REFSEQ hypothetical protein
VOG14760	5	5	Xu	REFSEQ hypothetical protein
VOG14761	5	5	Xu	REFSEQ hypothetical protein
VOG14762	14	14	Xu	REFSEQ hypothetical protein
VOG14763	7	7	Xu	REFSEQ hypothetical protein
VOG14764	7	7	Xu	REFSEQ tail assembly chaperone
VOG14765	6	6	Xu	REFSEQ hypothetical protein
VOG14766	4	4	Xu	REFSEQ hypothetical protein
VOG14767	6	6	Xu	REFSEQ hypothetical protein
VOG14768	10	10	Xu	REFSEQ hypothetical protein
VOG14769	11	11	Xu	REFSEQ hypothetical protein
VOG14770	3	3	Xu	REFSEQ hypothetical protein
VOG14771	28	28	Xu	REFSEQ hypothetical protein
VOG14772	19	19	Xu	REFSEQ hypothetical protein
VOG14773	5	5	Xu	REFSEQ hypothetical protein
VOG14774	21	21	Xu	REFSEQ hypothetical protein
VOG14775	4	4	Xu	REFSEQ hypothetical protein
VOG14776	23	23	Xu	REFSEQ hypothetical protein
VOG14777	6	6	Xu	REFSEQ hypothetical protein
VOG14778	24	24	Xu	REFSEQ hypothetical protein
VOG14779	5	5	Xu	REFSEQ hypothetical protein
VOG14780	5	5	Xu	REFSEQ hypothetical protein
VOG14781	22	22	Xu	REFSEQ hypothetical protein
VOG14782	5	5	Xu	REFSEQ hypothetical protein
VOG14783	22	22	Xu	REFSEQ hypothetical protein
VOG14784	22	22	Xu	REFSEQ hypothetical protein
VOG14785	5	5	Xu	REFSEQ hypothetical protein
VOG14786	22	22	Xu	REFSEQ hypothetical protein
VOG14787	22	22	Xu	REFSEQ hypothetical protein
VOG14788	22	22	Xu	REFSEQ hypothetical protein
VOG14789	7	7	Xu	REFSEQ hypothetical protein
VOG14790	22	22	Xu	REFSEQ hypothetical protein
VOG14791	6	6	Xu	REFSEQ hypothetical protein
VOG14792	22	22	Xu	REFSEQ hypothetical protein
VOG14793	19	19	Xu	REFSEQ hypothetical protein
VOG14794	4	4	Xu	REFSEQ hypothetical protein
VOG14795	10	10	Xu	REFSEQ hypothetical protein
VOG14796	3	3	Xu	REFSEQ hypothetical protein
VOG14797	21	21	Xu	REFSEQ hypothetical protein
VOG14798	3	3	Xu	REFSEQ hypothetical protein
VOG14799	5	5	Xu	REFSEQ hypothetical protein
VOG14800	17	17	Xu	REFSEQ hypothetical protein
VOG14801	21	21	Xu	REFSEQ hypothetical protein
VOG14802	15	15	Xu	REFSEQ hypothetical protein
VOG14803	11	11	Xu	REFSEQ hypothetical protein
VOG14804	20	20	Xu	REFSEQ hypothetical protein
VOG14805	3	3	Xu	REFSEQ hypothetical protein
VOG14806	20	20	Xu	REFSEQ hypothetical protein
VOG14807	39	39	Xu	REFSEQ hypothetical protein
VOG14808	32	32	Xu	REFSEQ hypothetical protein
VOG14809	39	39	Xu	REFSEQ hypothetical protein
VOG14810	5	5	Xu	REFSEQ hypothetical protein
VOG14811	11	11	Xu	REFSEQ hypothetical protein
VOG14812	34	34	Xu	REFSEQ hypothetical protein
VOG14813	5	5	Xu	REFSEQ hypothetical protein
VOG14814	5	5	Xu	REFSEQ hypothetical protein
VOG14815	3	3	Xu	REFSEQ hypothetical protein
VOG14816	5	5	Xu	REFSEQ hypothetical protein
VOG14817	7	7	Xu	REFSEQ hypothetical protein
VOG14818	5	5	Xu	REFSEQ hypothetical protein
VOG14819	5	5	Xu	REFSEQ hypothetical protein
VOG14820	8	8	Xu	REFSEQ hypothetical protein
VOG14821	4	4	Xu	REFSEQ hypothetical protein
VOG14822	4	4	Xu	REFSEQ hypothetical protein
VOG14823	6	6	Xu	REFSEQ hypothetical protein
VOG14824	4	4	Xu	REFSEQ hypothetical protein
VOG14825	19	19	Xu	REFSEQ hydrolase
VOG14826	4	4	Xu	REFSEQ hypothetical protein
VOG14827	3	3	Xu	REFSEQ hypothetical protein
VOG14828	3	3	Xu	REFSEQ hypothetical protein
VOG14829	7	7	Xu	REFSEQ hypothetical protein
VOG14830	9	9	Xu	REFSEQ hypothetical protein
VOG14831	3	3	Xu	REFSEQ hypothetical protein
VOG14832	8	8	Xu	REFSEQ hypothetical protein
VOG14833	17	17	Xu	REFSEQ hypothetical protein
VOG14834	3	3	Xu	REFSEQ hypothetical protein
VOG14835	11	11	Xu	REFSEQ hypothetical protein
VOG14836	9	9	Xu	REFSEQ hypothetical protein
VOG14837	7	7	Xu	REFSEQ hypothetical protein
VOG14838	17	17	Xu	REFSEQ hypothetical protein
VOG14839	10	10	Xu	REFSEQ hypothetical protein
VOG14840	3	3	Xu	REFSEQ hypothetical protein
VOG14841	3	3	Xu	REFSEQ hypothetical protein
VOG14842	3	3	Xu	REFSEQ hypothetical protein
VOG14843	3	3	Xu	REFSEQ hypothetical protein
VOG14844	3	3	Xu	REFSEQ Glo
VOG14845	7	7	Xu	REFSEQ hypothetical protein
VOG14846	4	4	Xu	REFSEQ hypothetical protein
VOG14847	6	6	Xu	REFSEQ hypothetical protein
VOG14848	3	3	Xu	REFSEQ hypothetical protein
VOG14849	5	5	Xu	REFSEQ hypothetical protein
VOG14850	5	5	Xu	REFSEQ hypothetical protein
VOG14851	5	5	Xu	REFSEQ hypothetical protein
VOG14852	3	3	Xu	REFSEQ cyun87
VOG14853	3	3	Xs	sp|P36326|PYHD_CPVES Polyhedrin
VOG14854	4	4	Xu	REFSEQ hypothetical protein
VOG14855	12	8	Xu	REFSEQ hypothetical protein
VOG14856	4	4	Xu	REFSEQ hypothetical protein
VOG14857	7	7	Xu	REFSEQ hypothetical protein
VOG14858	11	5	Xu	REFSEQ hypothetical protein
VOG14859	16	7	Xu	REFSEQ hypothetical protein
VOG14860	5	5	Xu	REFSEQ hypothetical protein
VOG14861	26	7	Xu	REFSEQ hypothetical protein
VOG14862	6	6	Xu	REFSEQ hypothetical protein
VOG14863	4	4	Xu	REFSEQ hypothetical protein
VOG14864	3	3	Xh	sp|A3PAU4|AROC_PROM0 Chorismate synthase
VOG14865	3	3	Xu	REFSEQ Isopenicillin N synthase domain containing protein
VOG14866	6	6	Xu	REFSEQ hypothetical protein
VOG14867	6	6	Xu	REFSEQ hypothetical protein
VOG14868	5	5	Xu	REFSEQ hypothetical protein
VOG14869	6	6	Xu	REFSEQ hypothetical protein
VOG14870	6	6	Xu	REFSEQ hypothetical protein
VOG14871	6	6	Xu	REFSEQ hypothetical protein
VOG14872	6	6	Xu	REFSEQ hypothetical protein
VOG14873	4	4	Xu	REFSEQ hypothetical protein
VOG14874	7	7	Xu	REFSEQ Atrophin-1 incomplete domain containing protein
VOG14875	6	6	Xu	REFSEQ hypothetical protein
VOG14876	21	7	Xu	REFSEQ hypothetical protein
VOG14877	9	9	Xh	sp|Q3ATZ1|PUR9_CHLCH Bifunctional purine biosynthesis protein PurH
VOG14878	5	5	Xu	REFSEQ hypothetical protein
VOG14879	5	5	Xh	sp|O04862|FOLM_PEA Folate synthesis bifunctional protein, mitochondrial
VOG14880	7	7	Xu	REFSEQ Dihydroneopterin aldolase
VOG14881	9	7	Xh	sp|Q42707|F26G_HELSP Furostanol glycoside 26-O-beta-glucosidase
VOG14882	5	5	Xu	REFSEQ Para-aminobenzoate synthetase
VOG14883	5	5	Xu	REFSEQ hypothetical protein
VOG14884	12	9	Xh	sp|Q83A83|METC_COXBU Cystathionine beta-lyase
VOG14885	7	7	Xu	REFSEQ hypothetical protein
VOG14886	13	8	Xu	REFSEQ hypothetical protein
VOG14887	11	11	Xu	REFSEQ hypothetical protein
VOG14888	7	7	Xu	REFSEQ hypothetical protein
VOG14889	29	7	Xu	REFSEQ hypothetical protein
VOG14890	558	7	Xu	sp|Q1JPG1|RS10B_BOVIN Radial spoke head 10 homolog B
VOG14891	10	7	Xu	REFSEQ hypothetical protein
VOG14892	9	4	Xu	REFSEQ hypothetical protein
VOG14893	7	5	Xu	REFSEQ hypothetical protein
VOG14894	14	6	Xu	REFSEQ hypothetical protein
VOG14895	7	7	Xu	REFSEQ hypothetical protein
VOG14896	5	5	Xu	REFSEQ Von Willebrand factor type A domain containing protein
VOG14897	6	6	Xu	REFSEQ hypothetical protein
VOG14898	4	4	Xu	REFSEQ hypothetical protein
VOG14899	3	3	Xu	REFSEQ hypothetical protein
VOG14900	7	7	Xu	REFSEQ hypothetical protein
VOG14901	7	7	Xu	REFSEQ hypothetical protein
VOG14902	7	7	Xu	REFSEQ hypothetical protein
VOG14903	7	7	Xu	REFSEQ hypothetical protein
VOG14904	4	4	Xu	REFSEQ hypothetical protein
VOG14905	7	7	Xu	REFSEQ hypothetical protein
VOG14906	3	3	Xu	REFSEQ hypothetical protein
VOG14907	5	5	Xu	REFSEQ hypothetical protein
VOG14908	7	7	Xu	REFSEQ hypothetical protein
VOG14909	9	7	Xu	REFSEQ hypothetical protein
VOG14910	8	8	Xu	REFSEQ DNA-3-methyladenine glycosylase
VOG14911	5	4	Xu	REFSEQ hypothetical protein
VOG14912	20	7	Xu	REFSEQ YjgF/Yer057c/UK114 family protein
VOG14913	5	5	Xu	REFSEQ hypothetical protein
VOG14914	5	5	Xu	REFSEQ hypothetical protein
VOG14915	7	7	Xu	REFSEQ hypothetical protein
VOG14916	7	7	Xu	REFSEQ Endopeptidase domain containing protein
VOG14917	7	7	Xu	REFSEQ hypothetical protein
VOG14918	6	6	Xu	REFSEQ hypothetical protein
VOG14919	7	7	Xu	REFSEQ hypothetical protein
VOG14920	7	7	Xu	REFSEQ hypothetical protein
VOG14921	7	7	Xu	REFSEQ hypothetical protein
VOG14922	7	7	Xu	REFSEQ hypothetical protein
VOG14923	5	5	Xu	REFSEQ hypothetical protein
VOG14924	6	6	Xu	REFSEQ hypothetical protein
VOG14925	7	7	Xu	REFSEQ hypothetical protein
VOG14926	7	7	Xu	REFSEQ hypothetical protein
VOG14927	9	7	Xu	REFSEQ hypothetical protein
VOG14928	7	7	Xu	REFSEQ hypothetical protein
VOG14929	8	7	Xu	REFSEQ hypothetical protein
VOG14930	7	7	Xu	REFSEQ hypothetical protein
VOG14931	4	4	Xu	REFSEQ hypothetical protein
VOG14932	12	7	Xu	sp|Q9XZ43|5NTD_LUTLO Protein 5NUC
VOG14933	5	5	Xu	REFSEQ Cupin
VOG14934	5	5	Xh	sp|O67240|SAHH_AQUAE Adenosylhomocysteinase
VOG14935	6	6	Xu	REFSEQ hypothetical protein
VOG14936	7	7	Xu	REFSEQ hypothetical protein
VOG14937	7	7	Xu	REFSEQ Kinase VIP2 domain containing protein
VOG14938	7	7	Xu	REFSEQ hypothetical protein
VOG14939	7	7	Xu	REFSEQ hypothetical protein
VOG14940	7	7	Xu	REFSEQ hypothetical protein
VOG14941	7	7	Xu	REFSEQ hypothetical protein
VOG14942	7	7	Xu	REFSEQ hypothetical protein
VOG14943	7	7	Xu	REFSEQ hypothetical protein
VOG14944	7	7	Xu	REFSEQ hypothetical protein
VOG14945	7	7	Xu	REFSEQ hypothetical protein
VOG14946	7	7	Xu	REFSEQ hypothetical protein
VOG14947	7	7	Xu	REFSEQ hypothetical protein
VOG14948	12	7	Xu	REFSEQ hypothetical protein
VOG14949	3	3	Xu	REFSEQ hypothetical protein
VOG14950	7	7	Xu	REFSEQ hypothetical protein
VOG14951	7	7	Xu	REFSEQ hypothetical protein
VOG14952	7	7	Xu	REFSEQ hypothetical protein
VOG14953	7	7	Xu	REFSEQ TF Zn Ribbon incomplete domain containing protein
VOG14954	4	4	Xu	REFSEQ putative membrane transporter protein
VOG14955	6	6	Xu	REFSEQ hypothetical protein
VOG14956	7	7	Xu	REFSEQ YncE incomplete domain containing protein
VOG14957	7	7	Xu	REFSEQ hypothetical protein
VOG14958	6	6	Xu	REFSEQ hypothetical protein
VOG14959	8	7	Xu	REFSEQ hypothetical protein
VOG14960	12	7	Xu	REFSEQ hypothetical protein
VOG14961	7	7	Xu	REFSEQ hypothetical protein
VOG14962	8	7	Xu	REFSEQ hypothetical protein
VOG14963	5	5	Xu	REFSEQ hypothetical protein
VOG14964	7	7	Xu	REFSEQ hypothetical protein
VOG14965	7	7	Xu	REFSEQ hypothetical protein
VOG14966	7	7	Xu	REFSEQ hypothetical protein
VOG14967	7	7	Xu	REFSEQ hypothetical protein
VOG14968	98	8	Xu	REFSEQ Fascin-like incomplete domain containing protein
VOG14969	7	7	Xu	REFSEQ Serine/threonine phosphatases incomplete domain containing protein
VOG14970	6	6	Xu	REFSEQ hypothetical protein
VOG14971	5	5	Xu	REFSEQ hypothetical protein
VOG14972	7	7	Xu	REFSEQ hypothetical protein
VOG14973	7	7	Xu	REFSEQ hypothetical protein
VOG14974	6	6	Xu	REFSEQ hypothetical protein
VOG14975	7	7	Xu	REFSEQ hypothetical protein
VOG14976	7	7	Xu	REFSEQ hypothetical protein
VOG14977	7	7	Xu	REFSEQ hypothetical protein
VOG14978	7	7	Xu	REFSEQ hypothetical protein
VOG14979	7	7	Xu	REFSEQ hypothetical protein
VOG14980	6	6	Xu	REFSEQ hypothetical protein
VOG14981	7	7	Xu	REFSEQ mRNA cap guanine-N7 methyltransferase
VOG14982	7	7	Xu	REFSEQ hypothetical protein
VOG14983	7	7	Xu	REFSEQ hypothetical protein
VOG14984	7	7	Xu	REFSEQ hypothetical protein
VOG14985	7	7	Xu	REFSEQ hypothetical protein
VOG14986	6	6	Xu	REFSEQ hypothetical protein
VOG14987	7	7	Xu	REFSEQ hypothetical protein
VOG14988	6	6	Xu	REFSEQ Serine protease
VOG14989	5	5	Xu	REFSEQ hypothetical protein
VOG14990	9	7	Xu	REFSEQ hypothetical protein
VOG14991	13	7	Xu	REFSEQ hypothetical protein
VOG14992	7	7	Xu	REFSEQ N-acetyl-glucosamine transferase
VOG14993	7	7	Xu	REFSEQ hypothetical protein
VOG14994	7	7	Xu	REFSEQ hypothetical protein
VOG14995	7	7	Xu	REFSEQ hypothetical protein
VOG14996	7	7	Xu	REFSEQ hypothetical protein
VOG14997	7	7	Xu	REFSEQ hypothetical protein
VOG14998	7	7	Xu	REFSEQ hypothetical protein
VOG14999	7	7	Xu	REFSEQ hypothetical protein
VOG15000	6	6	Xu	REFSEQ hypothetical protein
VOG15001	8	8	Xu	REFSEQ Ring finger protein
VOG15002	7	7	Xu	REFSEQ hypothetical protein
VOG15003	7	7	Xu	REFSEQ hypothetical protein
VOG15004	7	7	Xu	REFSEQ hypothetical protein
VOG15005	6	6	Xu	REFSEQ hypothetical protein
VOG15006	7	7	Xu	REFSEQ hypothetical protein
VOG15007	7	7	Xu	REFSEQ hypothetical protein
VOG15008	7	7	Xu	REFSEQ hypothetical protein
VOG15009	7	7	Xu	REFSEQ hypothetical protein
VOG15010	6	6	Xu	REFSEQ hypothetical protein
VOG15011	9	7	Xu	REFSEQ hypothetical protein
VOG15012	7	7	Xu	REFSEQ hypothetical protein
VOG15013	7	7	Xu	REFSEQ hypothetical protein
VOG15014	7	7	Xu	REFSEQ hypothetical protein
VOG15015	6	6	Xu	REFSEQ hypothetical protein
VOG15016	7	7	Xu	REFSEQ hypothetical protein
VOG15017	5	5	Xu	REFSEQ hypothetical protein
VOG15018	7	7	Xu	REFSEQ hypothetical protein
VOG15019	8	7	Xu	REFSEQ hypothetical protein
VOG15020	4	4	Xu	REFSEQ hypothetical protein
VOG15021	7	7	Xu	REFSEQ hypothetical protein
VOG15022	60	7	Xu	REFSEQ hypothetical protein
VOG15023	7	7	Xu	REFSEQ hypothetical protein
VOG15024	7	7	Xu	REFSEQ hypothetical protein
VOG15025	7	7	Xu	REFSEQ hypothetical protein
VOG15026	6	6	Xu	REFSEQ Ankyrin repeat domain containing protein
VOG15027	13	13	Xu	REFSEQ hypothetical protein
VOG15028	7	7	Xu	REFSEQ hypothetical protein
VOG15029	4	4	Xu	REFSEQ hypothetical protein
VOG15030	7	7	Xu	REFSEQ hypothetical protein
VOG15031	7	7	Xu	REFSEQ hypothetical protein
VOG15032	7	7	Xu	REFSEQ Nudix hydrolase incomplete domain containing protein
VOG15033	43	7	Xu	REFSEQ hypothetical protein
VOG15034	7	7	Xu	REFSEQ hypothetical protein
VOG15035	7	7	Xu	REFSEQ hypothetical protein
VOG15036	6	6	Xu	REFSEQ SMC N incomplete domain containing protein
VOG15037	5	5	Xu	REFSEQ Methyltransferase incomplete domain containing protein
VOG15038	6	4	Xu	REFSEQ Disulfide isomerase
VOG15039	6	6	Xu	REFSEQ hypothetical protein
VOG15040	7	7	Xu	REFSEQ hypothetical protein
VOG15041	6	6	Xu	REFSEQ hypothetical protein
VOG15042	14	7	Xu	REFSEQ hypothetical protein
VOG15043	7	7	Xu	REFSEQ hypothetical protein
VOG15044	10	5	Xu	REFSEQ hypothetical protein
VOG15045	6	6	Xu	REFSEQ hypothetical protein
VOG15046	7	7	Xu	REFSEQ Zinc-finger domain containing protein
VOG15047	7	7	Xu	REFSEQ hypothetical protein
VOG15048	7	7	Xu	REFSEQ Disulfide isomerase
VOG15049	6	6	Xu	REFSEQ hypothetical protein
VOG15050	7	7	Xu	REFSEQ mRNA capping enzyme, catalytic domain containing protein
VOG15051	7	7	Xu	REFSEQ hypothetical protein
VOG15052	7	7	Xu	REFSEQ hypothetical protein
VOG15053	7	7	Xu	REFSEQ hypothetical protein
VOG15054	7	7	Xu	REFSEQ hypothetical protein
VOG15055	6	6	Xu	REFSEQ hypothetical protein
VOG15056	5	5	Xu	REFSEQ hypothetical protein
VOG15057	7	7	Xu	REFSEQ hypothetical protein
VOG15058	7	7	Xu	REFSEQ hypothetical protein
VOG15059	7	7	Xu	REFSEQ hypothetical protein
VOG15060	7	7	Xu	REFSEQ hypothetical protein
VOG15061	5	5	Xu	REFSEQ hypothetical protein
VOG15062	7	4	Xu	REFSEQ hypothetical protein
VOG15063	6	6	Xu	REFSEQ hypothetical protein
VOG15064	12	7	Xu	REFSEQ hypothetical protein
VOG15065	7	7	Xu	REFSEQ hypothetical protein
VOG15066	7	7	Xu	REFSEQ hypothetical protein
VOG15067	7	7	Xu	REFSEQ Cupin incomplete domain containing protein
VOG15068	6	6	Xu	REFSEQ hypothetical protein
VOG15069	7	7	Xu	REFSEQ hypothetical protein
VOG15070	7	7	Xu	REFSEQ hypothetical protein
VOG15071	7	7	Xu	REFSEQ hypothetical protein
VOG15072	7	7	Xu	REFSEQ Ring incomplete domain containing protein
VOG15073	7	7	Xu	REFSEQ TFIIS C-domain containing protein
VOG15074	7	7	Xu	REFSEQ hypothetical protein
VOG15075	6	6	Xu	REFSEQ hypothetical protein
VOG15076	8	7	Xu	REFSEQ hypothetical protein
VOG15077	39	7	Xu	REFSEQ hypothetical protein
VOG15078	9	6	Xu	REFSEQ hypothetical protein
VOG15079	5	5	Xu	REFSEQ hypothetical protein
VOG15080	7	7	Xu	REFSEQ hypothetical protein
VOG15081	6	6	Xu	REFSEQ hypothetical protein
VOG15082	5	5	Xu	REFSEQ hypothetical protein
VOG15083	6	6	Xu	REFSEQ hypothetical protein
VOG15084	7	7	Xu	REFSEQ hypothetical protein
VOG15085	11	7	Xu	REFSEQ hypothetical protein
VOG15086	5	5	Xu	REFSEQ hypothetical protein
VOG15087	3	3	Xu	REFSEQ hypothetical protein
VOG15088	12	8	Xh	sp|P77931|PVADH_PSESP Polyvinylalcohol dehydrogenase
VOG15089	7	7	Xu	REFSEQ hypothetical protein
VOG15090	6	6	Xu	REFSEQ hypothetical protein
VOG15091	7	7	Xu	REFSEQ hypothetical protein
VOG15092	7	7	Xu	REFSEQ hypothetical protein
VOG15093	7	7	Xu	REFSEQ hypothetical protein
VOG15094	4	4	Xu	REFSEQ hypothetical protein
VOG15095	7	7	Xu	REFSEQ B of TMEM189, localization domain containing protein
VOG15096	7	7	Xu	REFSEQ hypothetical protein
VOG15097	7	7	Xu	REFSEQ Glutamate dehydrogenase
VOG15098	7	7	Xu	REFSEQ hypothetical protein
VOG15099	7	7	Xu	REFSEQ hypothetical protein
VOG15100	7	7	Xu	REFSEQ hypothetical protein
VOG15101	14	6	Xu	REFSEQ hypothetical protein
VOG15102	7	7	Xu	REFSEQ hypothetical protein
VOG15103	7	7	Xu	REFSEQ hypothetical protein
VOG15104	11	7	Xu	REFSEQ Rho binding incomplete domain containing protein
VOG15105	5	5	Xu	REFSEQ hypothetical protein
VOG15106	5	5	Xu	REFSEQ hypothetical protein
VOG15107	7	7	Xu	REFSEQ hypothetical protein
VOG15108	7	7	Xu	REFSEQ Dyptype peroxidase protein
VOG15109	6	3	Xu	REFSEQ F-box domain protein
VOG15110	7	4	Xu	REFSEQ hypothetical protein
VOG15111	4	4	Xu	REFSEQ hypothetical protein
VOG15112	6	6	Xu	REFSEQ Histone H2B domain containing protein
VOG15113	5	5	Xu	REFSEQ hypothetical protein
VOG15114	7	7	Xu	REFSEQ hypothetical protein
VOG15115	7	7	Xu	REFSEQ hypothetical protein
VOG15116	7	7	Xu	REFSEQ hypothetical protein
VOG15117	7	7	Xu	REFSEQ hypothetical protein
VOG15118	6	6	Xu	REFSEQ hypothetical protein
VOG15119	7	7	Xu	REFSEQ hypothetical protein
VOG15120	5	5	Xu	REFSEQ hypothetical protein
VOG15121	5	5	Xu	REFSEQ hypothetical protein
VOG15122	5	5	Xu	REFSEQ hypothetical protein
VOG15123	7	7	Xu	REFSEQ hypothetical protein
VOG15124	4	4	Xu	REFSEQ hypothetical protein
VOG15125	7	7	Xu	REFSEQ Papain-like cysteine peptidase
VOG15126	7	7	Xu	REFSEQ hypothetical protein
VOG15127	6	6	Xu	REFSEQ Signal peptidase I
VOG15128	5	4	Xu	REFSEQ hypothetical protein
VOG15129	4	4	Xu	REFSEQ hypothetical protein
VOG15130	3	3	Xu	REFSEQ hypothetical protein
VOG15131	5	5	Xu	REFSEQ hypothetical protein
VOG15132	7	7	Xu	REFSEQ hypothetical protein
VOG15133	8	7	Xu	REFSEQ hypothetical protein
VOG15134	8	6	Xu	REFSEQ hypothetical protein
VOG15135	5	5	Xu	REFSEQ hypothetical protein
VOG15136	5	5	Xu	REFSEQ hypothetical protein
VOG15137	5	5	Xu	REFSEQ hypothetical protein
VOG15138	9	9	Xu	REFSEQ hypothetical protein
VOG15139	7	7	Xu	REFSEQ Aminodeoxyfutalosine synthase
VOG15140	7	7	Xu	REFSEQ Cytosine/adenosine deaminase
VOG15141	13	7	Xu	REFSEQ hypothetical protein
VOG15142	11	7	Xu	REFSEQ hypothetical protein
VOG15143	6	6	Xu	REFSEQ hypothetical protein
VOG15144	4	4	Xu	REFSEQ hypothetical protein
VOG15145	4	4	Xu	REFSEQ hypothetical protein
VOG15146	7	7	Xu	REFSEQ hypothetical protein
VOG15147	5	5	Xu	REFSEQ hypothetical protein
VOG15148	5	5	Xu	REFSEQ hypothetical protein
VOG15149	3	3	Xu	REFSEQ hypothetical protein
VOG15150	7	7	Xu	REFSEQ hypothetical protein
VOG15151	7	7	Xu	REFSEQ hypothetical protein
VOG15152	4	4	Xh	sp|P9WM78|Y0574_MYCTO Probable polyglutamine synthesis accessory protein MT0602
VOG15153	7	7	Xu	REFSEQ hypothetical protein
VOG15154	6	6	Xu	REFSEQ hypothetical protein
VOG15155	7	7	Xu	REFSEQ hypothetical protein
VOG15156	4	4	Xu	REFSEQ hypothetical protein
VOG15157	7	7	Xu	REFSEQ hypothetical protein
VOG15158	7	7	Xu	REFSEQ hypothetical protein
VOG15159	6	6	Xu	REFSEQ hypothetical protein
VOG15160	7	7	Xu	REFSEQ hypothetical protein
VOG15161	9	7	Xu	REFSEQ hypothetical protein
VOG15162	7	7	Xu	REFSEQ hypothetical protein
VOG15163	8	8	Xh	sp|O34598|GUAD_BACSU Guanine deaminase
VOG15164	7	6	Xu	REFSEQ hypothetical protein
VOG15165	4	3	Xu	REFSEQ hypothetical protein
VOG15166	7	7	Xu	REFSEQ hypothetical protein
VOG15167	19	6	Xu	REFSEQ hAT family C-terminal dimerization region domain containing protein
VOG15168	3	3	Xu	REFSEQ hypothetical protein
VOG15169	7	7	Xu	REFSEQ hypothetical protein
VOG15170	7	7	Xu	REFSEQ hypothetical protein
VOG15171	7	7	Xu	REFSEQ hypothetical protein
VOG15172	9	7	Xu	REFSEQ hypothetical protein
VOG15173	4	4	Xu	REFSEQ hypothetical protein
VOG15174	7	7	Xu	REFSEQ hypothetical protein
VOG15175	6	6	Xu	REFSEQ hypothetical protein
VOG15176	7	7	Xu	REFSEQ hypothetical protein
VOG15177	8	7	Xu	REFSEQ hypothetical protein
VOG15178	6	6	Xu	REFSEQ hypothetical protein
VOG15179	7	7	Xu	REFSEQ hypothetical protein
VOG15180	7	7	Xu	REFSEQ hypothetical protein
VOG15181	6	6	Xu	REFSEQ hypothetical protein
VOG15182	10	7	Xu	REFSEQ hypothetical protein
VOG15183	6	5	Xu	REFSEQ hypothetical protein
VOG15184	7	7	Xu	REFSEQ hypothetical protein
VOG15185	7	7	Xu	REFSEQ hypothetical protein
VOG15186	7	7	Xu	REFSEQ hypothetical protein
VOG15187	8	7	Xu	REFSEQ hypothetical protein
VOG15188	8	5	Xu	REFSEQ hypothetical protein
VOG15189	6	3	Xu	REFSEQ hypothetical protein
VOG15190	5	5	Xu	REFSEQ hypothetical protein
VOG15191	6	5	Xu	REFSEQ hypothetical protein
VOG15192	9	6	Xu	REFSEQ hypothetical protein
VOG15193	3	3	Xu	REFSEQ hypothetical protein
VOG15194	4	4	Xu	REFSEQ hypothetical protein
VOG15195	6	6	Xu	REFSEQ hypothetical protein
VOG15196	9	6	Xu	REFSEQ hypothetical protein
VOG15197	4	4	Xu	REFSEQ hypothetical protein
VOG15198	5	5	Xu	REFSEQ hypothetical protein
VOG15199	8	6	Xu	REFSEQ hypothetical protein
VOG15200	3	3	Xu	REFSEQ hypothetical protein
VOG15201	3	3	Xu	REFSEQ hypothetical protein
VOG15202	3	3	Xu	REFSEQ hypothetical protein
VOG15203	3	3	Xu	REFSEQ hypothetical protein
VOG15204	3	3	Xu	REFSEQ hypothetical protein
VOG15205	3	3	Xu	REFSEQ hypothetical protein
VOG15206	4	4	Xu	REFSEQ hypothetical protein
VOG15207	6	6	Xu	REFSEQ hypothetical protein
VOG15208	8	4	Xu	REFSEQ hypothetical protein
VOG15209	4	4	Xu	REFSEQ hypothetical protein
VOG15210	5	5	Xu	REFSEQ hypothetical protein
VOG15211	3	3	Xu	REFSEQ hypothetical protein
VOG15212	6	3	Xu	REFSEQ hypothetical protein
VOG15213	3	3	Xu	REFSEQ hypothetical protein
VOG15214	3	3	Xu	REFSEQ hypothetical protein
VOG15215	4	4	Xu	REFSEQ hypothetical protein
VOG15216	3	3	Xu	REFSEQ hypothetical protein
VOG15217	3	3	Xu	REFSEQ hypothetical protein
VOG15218	3	3	Xu	REFSEQ hypothetical protein
VOG15219	5	5	Xu	REFSEQ hypothetical protein
VOG15220	5	5	Xu	REFSEQ hypothetical protein
VOG15221	4	4	Xs	sp|P89035|MP6_PMVK Putative movement protein p6.6
VOG15222	4	4	Xu	sp|P89037|P15_PMVK Protein p15
VOG15223	4	4	Xu	REFSEQ capsid protein
VOG15224	3	3	Xu	REFSEQ gp67
VOG15225	6	6	Xu	REFSEQ hypothetical protein
